airquality, clear, red, green, blue, illuminance, timestamp
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:53:51.790388+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:54:01.812208+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:54:11.833303+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:54:21.854432+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:54:31.875588+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:54:41.896731+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:54:51.917700+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:55:01.938958+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:55:11.960701+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:55:21.982314+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:55:32.003543+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:55:42.025247+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:55:52.046327+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:56:02.067500+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-21 00:56:12.088855+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:56:22.110285+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:56:32.127718+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:56:42.148969+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:56:52.167708+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:57:02.188956+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:57:12.210298+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:57:22.231592+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:57:32.252698+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:57:42.273863+05:30
