airquality, clear, red, green, blue, illuminance, timestamp
6677, 1, 0, 0, 0, 0.0, 2017-03-19 00:31:40.890192+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:31:51.459395+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:32:01.488342+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:32:11.512071+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:32:21.538193+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:32:31.566874+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-19 00:32:41.591583+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:32:51.604993+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:33:01.639189+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:33:11.660453+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:33:21.673591+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:33:31.694982+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:33:41.716236+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:33:51.732805+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:34:01.754412+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:34:11.775752+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:34:21.790609+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:34:31.811924+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:34:41.833380+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:34:51.849555+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:35:01.870816+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:35:11.892214+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:35:21.911221+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:35:31.938404+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:35:41.959509+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:35:51.973893+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:36:01.995129+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:36:12.016337+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:36:22.030153+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:36:32.051427+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:36:42.072699+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:36:52.090086+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:37:02.111275+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:37:12.132683+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:37:22.151499+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:37:32.172829+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:37:42.194221+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:37:52.215430+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:38:02.236600+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:38:12.257849+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:38:22.278971+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:38:32.300089+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:38:42.321301+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:38:52.342634+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:39:02.370014+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-19 00:39:12.391261+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:39:22.411202+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:39:32.432429+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:39:42.453685+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:39:52.465157+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:40:02.486335+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-19 00:40:12.507488+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:40:22.528623+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:40:32.549739+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:40:42.570845+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:40:52.590321+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:41:02.611515+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:41:12.632733+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:41:22.644342+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:41:32.661161+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:41:42.682436+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:41:52.695157+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:42:02.716305+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:42:12.737429+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:42:22.756093+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:42:32.777214+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:42:42.798385+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-19 00:42:52.817651+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:43:02.838785+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:43:12.859933+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:43:22.881220+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:43:32.902435+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:43:42.923848+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:43:52.945172+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:44:02.966644+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:44:12.987790+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:44:23.008915+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:44:33.030016+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:44:43.051933+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:44:53.073147+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:45:03.094669+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:45:13.116360+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:45:23.137530+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:45:33.158794+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:45:43.181095+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:45:53.202707+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:46:03.216589+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:46:13.230465+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:46:23.243161+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:46:33.255870+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:46:43.277082+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:46:53.295787+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:47:03.317028+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-19 00:47:13.342976+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:47:23.361211+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:47:33.382507+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:47:43.403876+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:47:53.421188+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:48:03.442467+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:48:13.464025+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-19 00:48:23.485290+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:48:33.506419+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:48:43.528153+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:48:53.549275+05:30
654.52, 0, 0, 0, 0, 0.0, 2017-03-19 00:49:03.570423+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:49:13.592373+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:49:23.613726+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:49:33.635041+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:49:43.656233+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:49:53.677339+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:50:03.691185+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-19 00:50:13.712480+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-19 00:50:23.733807+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:50:33.746512+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:50:43.767686+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:50:53.788794+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:51:03.805065+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:51:13.826317+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:51:23.847414+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:51:33.860492+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:51:43.881780+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:51:53.902946+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:52:03.924499+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:52:13.945721+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:52:23.967176+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:52:33.981416+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:52:44.002746+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:52:54.024108+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:53:04.054772+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:53:14.075913+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:53:24.097074+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:53:34.118164+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:53:44.139363+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:53:54.160511+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:54:04.181794+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:54:14.201258+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:54:24.224279+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:54:34.241343+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-19 00:54:44.270462+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-19 00:54:54.292308+05:30
