airquality, clear, red, green, blue, illuminance, timestamp
66665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:44:21.877588+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:44:32.422710+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-20 00:44:42.450945+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:44:52.474509+05:30
670.42, 0, 0, 0, 0, 0.0, 2017-03-20 00:45:02.499552+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-20 00:45:12.521029+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:45:22.542220+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:45:32.563435+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:45:42.584653+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:45:52.605718+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:46:02.626798+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-20 00:46:12.647905+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:46:22.669574+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:46:32.690696+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:46:42.712034+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:46:52.733276+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:47:02.754442+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:47:12.771050+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-20 00:47:22.792889+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:47:32.814173+05:30
670.42, 0, 0, 0, 0, 0.0, 2017-03-20 00:47:42.835389+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-20 00:47:52.856577+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:48:02.877606+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:48:12.893708+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:48:22.914880+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:48:32.935998+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:48:42.951573+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:48:52.972808+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:49:02.994088+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:49:13.007107+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:49:23.021045+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:49:33.042238+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:49:43.063735+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:49:53.085020+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:50:03.106085+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:50:13.126664+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:50:23.147778+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:50:33.168907+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:50:43.181056+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:50:53.202255+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:51:03.223459+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:51:13.236549+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-20 00:51:23.257617+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:51:33.271000+05:30
672.72, 0, 0, 0, 0, 0.0, 2017-03-20 00:51:43.291605+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:51:53.312828+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:52:03.334136+05:30
656.77, 0, 0, 0, 0, 0.0, 2017-03-20 00:52:13.352565+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:52:23.373942+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:52:33.395175+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:52:43.411084+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:52:53.432241+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:53:03.453516+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:53:13.474684+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:53:23.495803+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:53:33.516865+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-20 00:53:43.537907+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:53:53.558948+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:54:03.580584+05:30
670.42, 0, 0, 0, 0, 0.0, 2017-03-20 00:54:13.601785+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-20 00:54:23.622979+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:54:33.644450+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:54:43.665599+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-20 00:54:53.686754+05:30
675.02, 0, 0, 0, 0, 0.0, 2017-03-20 00:55:03.708311+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-20 00:55:13.735345+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:55:23.748162+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-20 00:55:33.769259+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:55:43.790348+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:55:53.805886+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:56:03.827577+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-20 00:56:13.856012+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:56:23.877247+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:56:33.898455+05:30
668.13, 0, 0, 0, 0, 0.0, 2017-03-20 00:56:43.919564+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-20 00:56:53.940703+05:30
