airquality, temperature, humidity, clear, red, green, blue, illuminance, timestamp
382, 0, 0, 0, 0, 0.0, 2017-03-25 00:36:01.908071+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:36:12.460827+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:36:22.490943+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:36:32.518833+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:36:42.552823+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:36:52.590299+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:37:02.618132+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:37:12.652665+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:37:22.689267+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:37:32.717505+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:37:42.751815+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:37:52.780648+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:38:02.805882+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:38:12.839998+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:38:22.876905+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:38:32.905175+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:38:42.922400+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:38:52.947652+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:39:02.973016+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:39:13.007277+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:39:23.044337+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:39:33.065450+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:39:43.087166+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:39:53.112580+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:40:03.138670+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:40:13.161853+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:40:23.190355+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:40:33.219297+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:40:43.244968+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:40:53.270032+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:41:03.295256+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:41:13.320440+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:41:23.354794+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:41:33.383891+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:41:43.409121+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:41:53.434533+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:42:03.459574+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:42:13.484988+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:42:23.518885+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:42:33.548112+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:42:43.576232+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:42:53.601514+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:43:03.634028+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:43:13.661771+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:43:23.692018+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:43:33.726209+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:43:43.751002+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:43:53.776375+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:44:03.811800+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:44:13.837178+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:44:23.871613+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:44:33.908038+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:44:43.935962+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:44:53.951813+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:45:03.990968+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:45:14.018748+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:45:24.043773+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:45:34.073984+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:45:44.101917+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:45:54.136114+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:46:04.170439+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:46:14.198378+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:46:24.223739+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:46:34.257352+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:46:44.285615+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:46:54.319780+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:47:04.357511+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:47:14.390948+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:47:24.411840+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:47:34.447601+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:47:44.484304+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:47:54.513530+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:48:04.550170+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:48:14.586865+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:48:24.614910+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:48:34.648554+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:48:44.683933+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:48:54.720659+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:49:04.752092+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:49:14.785702+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:49:24.810254+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:49:34.844601+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:49:44.893199+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:49:54.921132+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:50:04.949920+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:50:14.984363+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:50:25.013616+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:50:35.038728+05:30
384.96, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:50:45.073031+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:50:55.109415+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:51:05.137419+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:51:15.172088+05:30
383.63, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:51:25.197269+05:30
382.31, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-25 00:51:35.222819+05:30
