airquality, temperature, humidity, clear, red, green, blue, illuminance, timestamp
33, 0, 0, 0, 0, 0.0, 2017-03-30 23:36:52.410341+05:30
329.92, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:37:02.963016+05:30
331.09, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:37:12.990705+05:30
328.74, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:37:23.016790+05:30
329.92, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:37:33.040845+05:30
331.09, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:37:43.068740+05:30
328.74, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:37:53.096349+05:30
331.09, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:38:03.121255+05:30
328.74, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:38:13.156183+05:30
328.74, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:38:23.184142+05:30
327.57, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:38:33.218172+05:30
329.92, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:38:43.255739+05:30
329.92, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:38:53.284583+05:30
329.92, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:39:03.319184+05:30
329.92, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:39:13.356870+05:30
326.40, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:39:23.384876+05:30
327.57, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:39:33.419759+05:30
328.74, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:39:43.455408+05:30
328.74, 29.00, 56.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:39:53.484361+05:30
326.40, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:40:03.518509+05:30
328.74, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:40:13.548555+05:30
328.74, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:40:23.576461+05:30
327.57, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:40:33.598868+05:30
328.74, 30.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:40:43.633079+05:30
329.92, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:40:53.660685+05:30
328.74, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:41:03.686070+05:30
331.09, 30.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:41:13.710533+05:30
329.92, 30.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:41:23.738498+05:30
331.09, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:41:33.758661+05:30
331.09, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:41:43.793078+05:30
328.74, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:41:53.814083+05:30
328.74, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:42:03.839167+05:30
331.09, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:42:13.873592+05:30
331.09, 30.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:42:23.901366+05:30
329.92, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:42:33.926604+05:30
333.46, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:42:43.960679+05:30
331.09, 29.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:42:53.988672+05:30
331.09, 30.00, 55.00, 0, 0, 0, 0, 0.0, 2017-03-30 23:43:04.015825+05:30
